Employee Count,Employee ID,Department,Job Role,Gender,Age,Marital Status,Education,Education Field,Business Travel,Distance From Home (kms),Job Involvement,Job Level,Job Satisfaction,Monthly Income (USD),Salary Hike (%),Stock Option Level,Over Time,No. of Companies Worked,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Environment Satisfaction,Training Times Last Year,Work Life Balance,Relationship Satisfaction,Attrition (Yes/No)
1,162,Research & Development,Research Director,Male,51,Single,Bachelor,Life Sciences,Travel_Rarely,6,High,5,High,19537,13,0,No,7,23,20,18,15,15,Low,5,Better,High,No
1,163,Sales,Sales Executive,Male,31,Married,Master,Life Sciences,Travel_Rarely,6,Low,2,High,6172,16,0,Yes,4,12,7,7,7,7,Medium,3,Good,Medium,Yes
1,164,Research & Development,Research Scientist,Female,26,Married,Bachelor,Other,Travel_Rarely,6,Medium,1,Medium,2368,19,0,No,1,5,5,4,4,3,High,3,Good,High,No
1,165,Research & Development,Healthcare Representative,Female,58,Married,Master,Medical,Travel_Rarely,23,High,3,Very High,10312,12,1,No,1,40,40,10,15,6,Very High,3,Good,Medium,Yes
1,167,Sales,Sales Representative,Male,19,Single,Below College,Marketing,Travel_Rarely,22,High,1,High,1675,15,0,Yes,1,0,0,0,0,0,Very High,2,Good,Medium,Yes
1,169,Research & Development,Laboratory Technician,Male,22,Married,Below College,Technical Degree,Travel_Rarely,2,High,1,Very High,2523,14,1,No,0,3,2,1,2,1,High,2,Better,High,No
1,170,Research & Development,Manufacturing Director,Female,49,Married,Master,Medical,Travel_Rarely,20,High,2,Low,6567,14,0,No,1,16,15,11,5,11,High,2,Good,High,No
1,171,Research & Development,Research Scientist,Female,43,Single,Bachelor,Medical,Travel_Frequently,28,Very High,1,High,4739,12,0,No,4,18,3,2,1,2,Medium,2,Better,Very High,No
1,174,Sales,Sales Executive,Female,50,Single,Bachelor,Marketing,Travel_Frequently,12,High,3,Very High,9208,11,0,No,4,16,2,2,2,1,High,3,Better,Very High,No
1,175,Sales,Sales Executive,Female,31,Married,Bachelor,Life Sciences,Travel_Rarely,20,Low,2,High,4559,11,1,Yes,3,4,2,2,2,2,Medium,2,Good,Medium,Yes
1,176,Sales,Sales Executive,Male,41,Divorced,Below College,Life Sciences,Travel_Rarely,9,High,3,High,8189,13,1,Yes,3,12,9,7,0,7,High,2,Better,High,No
1,177,Human Resources,Human Resources,Female,26,Married,Below College,Life Sciences,Travel_Rarely,25,High,1,High,2942,23,1,No,1,8,8,7,5,7,High,3,Better,Very High,No
1,178,Research & Development,Manufacturing Director,Male,36,Divorced,College,Medical,Travel_Rarely,6,High,2,Medium,4941,20,2,No,6,7,3,2,0,1,Medium,0,Better,Very High,No
1,179,Research & Development,Manufacturing Director,Male,51,Single,Master,Life Sciences,Travel_Frequently,8,Low,3,Very High,10650,15,0,No,2,18,4,2,0,3,Low,2,Good,Medium,Yes
1,182,Sales,Sales Executive,Female,39,Married,Master,Life Sciences,Travel_Rarely,4,Medium,2,High,5902,14,1,No,4,17,15,11,5,9,Very High,1,Best,High,No
1,183,Sales,Sales Executive,Male,25,Married,Bachelor,Life Sciences,Travel_Rarely,28,Medium,2,High,8639,18,0,No,2,6,2,2,2,2,Low,3,Better,Very High,No
1,184,Human Resources,Human Resources,Male,30,Married,Bachelor,Human Resources,Travel_Rarely,9,High,2,Very High,6347,19,0,Yes,0,12,11,9,4,7,High,2,Bad,Very High,No
1,190,Research & Development,Laboratory Technician,Female,32,Single,Bachelor,Medical,Travel_Rarely,9,High,1,Low,4200,12,0,No,7,10,5,4,0,4,Low,2,Good,Low,Yes
1,192,Research & Development,Research Scientist,Male,45,Single,Bachelor,Medical,Travel_Rarely,29,High,1,Very High,3452,13,0,No,5,9,6,5,0,3,High,2,Good,Medium,No
1,193,Research & Development,Research Scientist,Female,38,Single,Doctor,Technical Degree,Travel_Rarely,3,High,2,High,4317,20,0,Yes,3,19,3,2,2,2,Very High,2,Better,Medium,No
1,194,Research & Development,Research Scientist,Female,30,Single,Bachelor,Life Sciences,Travel_Rarely,18,High,1,High,2632,14,0,No,1,5,5,4,0,4,Low,4,Good,High,No
1,195,Sales,Sales Executive,Male,32,Divorced,College,Medical,Travel_Frequently,9,Low,2,Very High,4668,17,3,No,0,9,8,7,0,7,Very High,2,Best,Very High,No
1,197,Research & Development,Research Scientist,Female,30,Divorced,Bachelor,Technical Degree,Travel_Rarely,5,High,1,Low,3204,14,1,No,5,8,3,2,2,2,Very High,3,Better,Very High,No
1,198,Research & Development,Laboratory Technician,Male,30,Single,Below College,Medical,Travel_Rarely,2,Medium,1,Very High,2720,13,0,No,0,6,5,3,1,2,Medium,3,Better,Very High,No
1,199,Research & Development,Manager,Male,41,Divorced,Bachelor,Life Sciences,Travel_Frequently,10,Medium,4,Low,17181,13,1,No,4,21,7,6,7,7,Very High,2,Good,Medium,No
1,200,Research & Development,Laboratory Technician,Male,41,Married,Master,Life Sciences,Travel_Rarely,9,High,1,Low,2238,21,1,No,2,7,5,0,1,4,High,2,Better,Very High,No
1,201,Research & Development,Laboratory Technician,Female,19,Single,Below College,Medical,Travel_Rarely,3,High,1,Medium,1483,14,0,No,1,1,1,0,0,0,Medium,3,Better,Very High,No
1,202,Research & Development,Research Scientist,Female,40,Divorced,Bachelor,Medical,Travel_Frequently,26,High,2,Medium,5605,11,1,No,1,20,20,7,2,13,Medium,2,Better,Low,No
